Timestamp,Points,SM,Red,Nir,Lst,NDVI,TVDI 1,TVDI 2,TVDI 3
9/20/2022 13:49,13,0.082,86.6323,163.982,20.8229,0.308641,1.05392,2.85951,0.0176555
9/20/2022 13:49,14,0.093,114.655,176.047,21.4079,0.211186,0.0522286,0.204468,0.161598
9/20/2022 13:50,15,0.17,95.6118,156.522,21.0862,0.241579,0.113908,0.151041,0.0824353
9/20/2022 13:51,16,0.18,77.1435,131.006,21.3749,0.258769,0.42723,0.376635,0.153465
9/20/2022 15:02,1,0.097,127.229,167.713,22.2024,0.137259,0.518648,0.621457,0.46901
9/20/2022 15:02,2,0.131,132.051,174.236,22.1663,0.137731,0.506292,0.612369,0.461432
9/20/2022 15:03,3,0.071,145.413,191.242,23.8235,0.13613,1.08718,1.06883,0.809639
9/20/2022 15:03,4,0.074,126.812,172.566,24.243,0.152831,1.34221,1.254,0.897787
9/20/2022 15:04,5,0.063,130.7,177.402,23.9069,0.151581,1.20155,1.15035,0.827155
9/20/2022 15:04,6,0.06,145.472,191.526,23.4003,0.13666,0.940473,0.953092,0.720712
9/20/2022 15:05,7,0.094,137.989,179.932,22.3636,0.131927,0.568809,0.654824,0.502881
9/20/2022 15:05,8,0.126,133.095,174.503,22.0925,0.134617,0.477926,0.585753,0.445916
9/20/2022 15:07,9,0.142,99.3338,134.489,21.7447,0.150351,0.354712,0.516299,0.372824
9/20/2022 15:07,10,0.146,108.365,146.549,21.4926,0.149789,0.257355,0.442096,0.31986
9/20/2022 15:08,11,0.122,131.627,177.412,21.987,0.148153,0.447634,0.582409,0.42375
9/20/2022 15:08,12,0.086,101.621,144.346,21.8378,0.173703,0.393978,0.590976,0.392402
9/20/2022 15:09,13,0.074,92.6773,133.755,21.0427,0.181412,-0.00495386,0.349462,0.225334
9/20/2022 15:10,14,0.103,119.533,162.469,21.5943,0.152255,0.295218,0.475673,0.341234
9/20/2022 15:10,15,0.15,100.504,132.663,20.2221,0.137924,-0.184968,0.0702484,0.0528997
9/20/2022 15:11,16,0.155,78.7917,103.554,20.5537,0.135798,-0.0607881,0.16163,0.122569
9/21/2022 9:48,1,0.135,109.138,135.19,20.9901,0.106627,0.720244,0.747961,0.426858
9/21/2022 9:50,2,0.093,117.225,149.144,21.2086,0.11983,0.583777,0.679692,0.476562
9/21/2022 9:50,3,0.07,145.892,186.825,22.7551,0.123026,1.17547,1.13069,0.828476
9/21/2022 9:51,4,0.067,128.485,169.076,23.1995,0.136409,1.11314,1.07475,0.929602
9/21/2022 9:51,5,0.053,133.136,172.75,23.0564,0.129508,1.17964,1.12586,0.897034
9/21/2022 9:52,6,0.06,147.01,188.425,22.5018,0.123467,1.06175,1.04579,0.770826
9/21/2022 9:53,7,0.091,125.48,160.269,21.3428,0.121749,0.607933,0.704214,0.507108
9/21/2022 9:53,8,0.126,112.241,144.456,20.8545,0.1255,0.343913,0.522998,0.395992
9/21/2022 9:54,9,0.198,100.944,123.65,20.2456,0.1011,0.486276,0.4988,0.257429
9/21/2022 9:55,10,0.172,98.2206,124.152,20.1688,0.116613,0.194931,0.358486,0.239957
9/21/2022 9:57,11,0.098,104.991,136.124,20.9375,0.129119,0.321864,0.523243,0.41489
9/21/2022 9:57,12,0.122,95.0898,123.789,20.7724,0.13112,0.22436,0.46428,0.377312
9/21/2022 9:58,13,0.091,76.8516,101.413,20.1655,0.137782,-0.113495,0.272297,0.239214
9/21/2022 9:59,14,0.131,92.7982,119.953,20.5333,0.127636,0.178926,0.414897,0.322901
9/21/2022 9:59,15,0.159,83.3465,100.43,19.4192,0.092959,0.249206,0.159285,0.0693949
9/21/2022 10:00,16,0.177,74.426,91.9828,19.4448,0.105504,0.0539141,0.134411,0.0752175
9/21/2022 11:25,1,0.115,112.793,145.068,21.4601,0.125165,0.423765,0.521583,0.397906
9/21/2022 11:26,2,0.139,122.365,161.26,21.6201,0.137134,0.462355,0.589752,0.433589
9/21/2022 11:26,3,0.073,145.58,188.674,23.2538,0.128928,1.07137,1.05778,0.797758
9/21/2022 11:27,4,0.072,127.916,172.419,23.7199,0.148179,1.38852,1.27056,0.90167
9/21/2022 11:27,5,0.069,131.965,176.239,23.45,0.143652,1.23266,1.16851,0.841486
9/21/2022 11:27,6,0.065,147.608,191.631,22.9779,0.129772,0.973617,0.978763,0.736254
9/21/2022 11:28,7,0.131,132.061,171.71,21.8183,0.130521,0.546192,0.636595,0.477763
9/21/2022 11:28,8,0.127,116.852,151.321,21.4186,0.128533,0.40226,0.514733,0.388672
9/21/2022 11:29,9,0.156,99.4786,128.511,20.9401,0.127343,0.232772,0.372111,0.282003
9/21/2022 11:30,10,0.143,97.1562,128.421,20.9589,0.138599,0.192885,0.391055,0.286181
9/21/2022 11:32,11,0.131,111.085,149.358,21.0843,0.146954,0.205819,0.440888,0.314131
9/21/2022 11:32,12,0.101,100.229,137.913,20.9226,0.15824,0.0578196,0.405165,0.278105
9/21/2022 11:33,13,0.09,80.994,114.703,20.8545,0.172251,-0.121857,0.401994,0.262904
9/21/2022 11:33,14,0.122,104.723,136.252,20.8343,0.130837,0.17981,0.344654,0.25841
9/21/2022 11:34,15,0.135,85.2834,109.557,19.7943,0.124581,-0.158179,0.0347705,0.0265727
9/21/2022 11:35,16,0.134,73.1204,94.6568,20.0804,0.128363,-0.0831939,0.119608,0.0903626
9/21/2022 14:40,1,0.097,120.126,159.695,20.7993,0.141406,0.249877,0.498133,0.438344
9/21/2022 14:40,2,0.124,130.404,172.315,20.8426,0.138449,0.43283,0.566052,0.448213
9/21/2022 14:41,3,0.042,143.212,187.761,22.439,0.134598,1.21396,1.19848,0.811426
9/21/2022 14:42,4,0.052,125.109,167.264,22.8223,0.144183,0.888084,0.933423,0.898626
9/21/2022 14:42,5,0.054,130.119,173.361,22.0274,0.142487,0.66624,0.786869,0.71777
9/21/2022 14:43,6,0.054,146.931,191.29,21.9121,0.131153,1.18081,1.20398,0.691527
9/21/2022 14:43,7,0.092,137.45,178.923,21.006,0.131087,0.865776,0.847967,0.485387
9/21/2022 14:44,8,0.13,123.844,163.512,20.6068,0.138045,0.366576,0.505976,0.394547
9/21/2022 14:44,9,0.169,95.7971,123.696,20.398,0.127106,0.841055,0.76483,0.347047
9/21/2022 14:45,10,0.138,99.4434,131.71,20.2023,0.139591,0.126638,0.366312,0.302527
9/21/2022 14:47,11,0.14,130.862,172.008,20.1978,0.135852,0.334877,0.422011,0.301496
9/21/2022 14:47,12,0.079,110.119,148.064,19.9157,0.146971,-0.452622,0.226912,0.237311
9/21/2022 14:48,13,0.082,93.3147,124.854,20.4176,0.144565,-0.0913447,0.360842,0.351498
9/21/2022 14:48,14,0.098,110.593,144.033,20.5109,0.13133,0.68019,0.643044,0.372733
9/21/2022 14:49,15,0.175,85.8226,113.359,19.0495,0.138246,-0.22822,0.0511986,0.0402301
9/21/2022 14:50,16,0.178,74.5812,97.4554,19.4731,0.132961,0.228823,0.217429,0.136601
9/22/2022 11:37,1,0.098,94.4087,117.462,21.1347,0.108808,0.669524,0.729781,0.510321
9/22/2022 11:38,2,0.112,109.597,140.035,21.5061,0.121931,0.701315,0.804221,0.6051
9/22/2022 11:38,3,0.079,146.671,188.363,22.6731,0.12444,1.29361,1.1841,0.902953
9/22/2022 11:39,4,0.049,128.969,169.898,22.9793,0.136948,1.41644,1.2065,0.981123
9/22/2022 11:39,5,0.047,131.123,171.89,22.705,0.134538,1.25778,1.13401,0.911109
9/22/2022 11:40,6,0.075,151.114,193.067,22.2932,0.121892,1.10894,1.07146,0.805996
9/22/2022 11:41,7,0.081,118.701,149.671,21.728,0.115399,0.879352,0.911536,0.661738
9/22/2022 11:42,8,0.119,98.0509,124.177,20.9175,0.117566,0.461121,0.619107,0.454877
9/22/2022 11:42,9,0.196,108.479,131.967,20.2862,0.0976856,0.435322,0.449007,0.293763
9/22/2022 11:44,10,0.176,112.829,141.999,20.3503,0.114468,0.233894,0.429417,0.310122
9/22/2022 11:45,11,0.142,107.615,140,21.1227,0.130788,0.361536,0.643505,0.507248
9/22/2022 11:45,12,0.117,85.1385,110.959,21.121,0.131673,0.344516,0.640045,0.506813
9/22/2022 11:46,13,0.099,66.4597,91.7087,21.1309,0.159634,-0.479969,0.56279,0.509345
9/22/2022 11:47,14,0.135,91.4393,118.431,21.186,0.12861,0.435013,0.671507,0.5234
9/22/2022 11:48,15,0.148,85.6766,107.121,19.7055,0.111228,-0.0112213,0.205249,0.145537
9/22/2022 11:48,16,0.176,80.9317,97.3559,19.5063,0.0921218,0.200509,0.149896,0.0946931
9/22/2022 13:04,1,0.113,100.955,133.943,21.7379,0.140435,0.326872,0.44244,0.319893
9/22/2022 13:04,2,0.111,124.813,166.066,21.8138,0.141821,0.359762,0.470306,0.339094
9/22/2022 13:05,3,0.067,144.887,188.648,23.6801,0.131203,1.12248,1.10223,0.81172
9/22/2022 13:06,4,0.076,127.175,172.737,24.1658,0.151917,1.39424,1.32331,0.934703
9/22/2022 13:06,5,0.052,128.089,173.754,23.8189,0.151287,1.24056,1.19739,0.846857
9/22/2022 13:07,6,0.072,147.623,190.709,23.4395,0.127349,1.01408,1.01179,0.750783
9/22/2022 13:07,7,0.103,137.266,177.22,21.8103,0.127046,0.349814,0.45551,0.338205
9/22/2022 13:08,8,0.126,112.704,147.301,21.7403,0.133064,0.324211,0.436801,0.320495
9/22/2022 13:08,9,0.288,97.4144,126.261,21.5566,0.128965,0.24702,0.37039,0.273973
9/22/2022 13:10,10,0.245,102.734,137.038,21.3845,0.143071,0.177642,0.320357,0.230398
9/22/2022 13:11,11,0.131,119.396,156.951,21.3852,0.135896,0.177351,0.316001,0.230559
9/22/2022 13:11,12,0.084,86.4988,119.864,21.1409,0.161681,0.0695131,0.243721,0.168691
9/22/2022 13:12,13,0.092,67.9336,104.919,21.1987,0.213971,0.0852705,0.297562,0.183348
9/22/2022 13:12,14,0.107,97.5184,132.445,21.1865,0.15188,0.0918124,0.255184,0.18026
9/22/2022 13:13,15,0.153,81.7344,107.414,20.5923,0.135764,-0.15351,0.0407985,0.0297751
9/22/2022 13:14,16,0.144,78.4936,100.394,20.5488,0.122424,-0.160019,0.0250313,0.0187533
9/22/2022 14:07,1,0.108,110.858,145.592,21.6501,0.135445,0.395688,0.502445,0.367638
9/22/2022 14:07,2,0.12,131.262,171.347,21.5581,0.132464,0.357035,0.467634,0.346175
9/22/2022 14:08,3,0.069,145.54,190.044,23.4949,0.132616,1.09482,1.07849,0.797901
9/22/2022 14:08,4,0.065,127.707,172.737,23.7059,0.149876,1.28439,1.22729,0.84709
9/22/2022 14:08,5,0.059,129.29,173.388,23.6342,0.145695,1.22625,1.18247,0.83037
9/22/2022 14:09,6,0.055,146.696,191.254,23.0772,0.131848,0.932399,0.943963,0.70046
9/22/2022 14:09,7,0.104,138.459,177.73,21.5947,0.124201,0.362457,0.464263,0.354708
9/22/2022 14:09,8,0.137,119.318,155.423,21.5873,0.131417,0.367028,0.474891,0.352977
9/22/2022 14:10,9,0.258,95.3979,122.438,21.314,0.124129,0.260451,0.378468,0.289237
